
Output from index, item : 17, ('f', '.Xdefaults') 
Output from index, item : 18, ('f', '.Xdefaults.backup') 
Output from ls_dir : (5, 24) 
Output from index, item : 0, ('d', '.cargo') 
Output from index, item : 1, ('d', '.config') 
Output from index, item : 2, ('d', '.emacs.d') 
Output from index, item : 3, ('f', '.fehbg') 
Output from index, item : 4, ('f', '.gitconfig') 
Output from index, item : 5, ('f', '.lesshst') 
Output from index, item : 6, ('d', '.local') 
Output from index, item : 7, ('d', '.mozilla') 
Output from index, item : 8, ('f', '.ncpamixer.conf') 
Output from index, item : 9, ('d', '.oh-my-zsh') 
Output from index, item : 10, ('f', '.python_history') 
Output from index, item : 11, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 12, ('f', '.spacemacs') 
Output from index, item : 13, ('d', '.ssh') 
Output from index, item : 14, ('d', '.vim') 
Output from index, item : 15, ('f', '.viminfo') 
Output from index, item : 16, ('d', '.virtualenvs') 
Output from index, item : 17, ('f', '.Xauthority') 
Output from index, item : 18, ('f', '.Xdefaults') 
Output from ls_dir : (4, 23) 
Output from index, item : 0, ('d', '.cache') 
Output from index, item : 1, ('d', '.cargo') 
Output from index, item : 2, ('d', '.config') 
Output from index, item : 3, ('d', '.emacs.d') 
Output from index, item : 4, ('f', '.fehbg') 
Output from index, item : 5, ('f', '.gitconfig') 
Output from index, item : 6, ('f', '.lesshst') 
Output from index, item : 7, ('d', '.local') 
Output from index, item : 8, ('d', '.mozilla') 
Output from index, item : 9, ('f', '.ncpamixer.conf') 
Output from index, item : 10, ('d', '.oh-my-zsh') 
Output from index, item : 11, ('f', '.python_history') 
Output from index, item : 12, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 13, ('f', '.spacemacs') 
Output from index, item : 14, ('d', '.ssh') 
Output from index, item : 15, ('d', '.vim') 
Output from index, item : 16, ('f', '.viminfo') 
Output from index, item : 17, ('d', '.virtualenvs') 
Output from index, item : 18, ('f', '.Xauthority') 
Output from ls_dir : (3, 22) 
Output from index, item : 0, ('f', '.bashrc') 
Output from index, item : 1, ('d', '.cache') 
Output from index, item : 2, ('d', '.cargo') 
Output from index, item : 3, ('d', '.config') 
Output from index, item : 4, ('d', '.emacs.d') 
Output from index, item : 5, ('f', '.fehbg') 
Output from index, item : 6, ('f', '.gitconfig') 
Output from index, item : 7, ('f', '.lesshst') 
Output from index, item : 8, ('d', '.local') 
Output from index, item : 9, ('d', '.mozilla') 
Output from index, item : 10, ('f', '.ncpamixer.conf') 
Output from index, item : 11, ('d', '.oh-my-zsh') 
Output from index, item : 12, ('f', '.python_history') 
Output from index, item : 13, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 14, ('f', '.spacemacs') 
Output from index, item : 15, ('d', '.ssh') 
Output from index, item : 16, ('d', '.vim') 
Output from index, item : 17, ('f', '.viminfo') 
Output from index, item : 18, ('d', '.virtualenvs') 
Output from ls_dir : (2, 21) 
Output from index, item : 0, ('f', '.bash_profile') 
Output from index, item : 1, ('f', '.bashrc') 
Output from index, item : 2, ('d', '.cache') 
Output from index, item : 3, ('d', '.cargo') 
Output from index, item : 4, ('d', '.config') 
Output from index, item : 5, ('d', '.emacs.d') 
Output from index, item : 6, ('f', '.fehbg') 
Output from index, item : 7, ('f', '.gitconfig') 
Output from index, item : 8, ('f', '.lesshst') 
Output from index, item : 9, ('d', '.local') 
Output from index, item : 10, ('d', '.mozilla') 
Output from index, item : 11, ('f', '.ncpamixer.conf') 
Output from index, item : 12, ('d', '.oh-my-zsh') 
Output from index, item : 13, ('f', '.python_history') 
Output from index, item : 14, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 15, ('f', '.spacemacs') 
Output from index, item : 16, ('d', '.ssh') 
Output from index, item : 17, ('d', '.vim') 
Output from index, item : 18, ('f', '.viminfo') 
Output from ls_dir : (1, 20) 
Output from index, item : 0, ('f', '.bash_logout') 
Output from index, item : 1, ('f', '.bash_profile') 
Output from index, item : 2, ('f', '.bashrc') 
Output from index, item : 3, ('d', '.cache') 
Output from index, item : 4, ('d', '.cargo') 
Output from index, item : 5, ('d', '.config') 
Output from index, item : 6, ('d', '.emacs.d') 
Output from index, item : 7, ('f', '.fehbg') 
Output from index, item : 8, ('f', '.gitconfig') 
Output from index, item : 9, ('f', '.lesshst') 
Output from index, item : 10, ('d', '.local') 
Output from index, item : 11, ('d', '.mozilla') 
Output from index, item : 12, ('f', '.ncpamixer.conf') 
Output from index, item : 13, ('d', '.oh-my-zsh') 
Output from index, item : 14, ('f', '.python_history') 
Output from index, item : 15, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 16, ('f', '.spacemacs') 
Output from index, item : 17, ('d', '.ssh') 
Output from index, item : 18, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
Output from index, item : 4, ('d', '.cache') 
Output from index, item : 5, ('d', '.cargo') 
Output from index, item : 6, ('d', '.config') 
Output from index, item : 7, ('d', '.emacs.d') 
Output from index, item : 8, ('f', '.fehbg') 
Output from index, item : 9, ('f', '.gitconfig') 
Output from index, item : 10, ('f', '.lesshst') 
Output from index, item : 11, ('d', '.local') 
Output from index, item : 12, ('d', '.mozilla') 
Output from index, item : 13, ('f', '.ncpamixer.conf') 
Output from index, item : 14, ('d', '.oh-my-zsh') 
Output from index, item : 15, ('f', '.python_history') 
Output from index, item : 16, ('f', '.shell.pre-oh-my-zsh') 
Output from index, item : 17, ('f', '.spacemacs') 
Output from index, item : 18, ('d', '.ssh') 
Output from index, item : 19, ('d', '.vim') 
Output from ls_dir : (0, 20) 
Output from index, item : 0, ('f', '.bash_history') 
Output from index, item : 1, ('f', '.bash_logout') 
Output from index, item : 2, ('f', '.bash_profile') 
Output from index, item : 3, ('f', '.bashrc') 
